Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-118.2274504,34.0790025,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.2271102,34.0792747,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.2259162,34.080268,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.22505,34.0809897,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.2250356,34.0810016,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1815415,34.1111627,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1812732,34.1111109,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.181005,34.1110872,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1807556,34.1110913,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1804977,34.1111138,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1802203,34.1111619,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1800314,34.1112116,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1797825,34.1112898,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.179536,34.1113828,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1786004,34.1118092,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1783687,34.1119371,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1781455,34.1120792,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1769353,34.1129248,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1766693,34.1130883,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1764547,34.1132162,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1762229,34.1133157,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1760169,34.1133938,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.175768,34.113472,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1745664,34.1138486,3,55 mph,Arroyo Seco Parkway,CA 110,North
-118.1741887,34.1139908,3,55 mph,Arroyo Seco Parkway,CA 110,North
