Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-118.192463,34.1032108,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1927195,34.1031086,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.192983,34.1030159,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1932265,34.1029597,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1934743,34.1029184,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1936604,34.1028987,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1938913,34.102886,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1940536,34.1028865,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1952092,34.1029606,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2060777,34.0946238,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2061468,34.0944822,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2061736,34.0944205,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2062326,34.0942668,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2062768,34.0941057,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.206307,34.0939136,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063419,34.0936459,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2193243,34.0848833,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2198015,34.0846316,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2204393,34.0842289,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2210709,34.083806,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2219971,34.083226,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2225707,34.0828059,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2229241,34.0825458,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2231181,34.0824291,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2233928,34.082294,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2235452,34.0822232,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2236793,34.082161,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2239078,34.0820452,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2240774,34.0819429,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2249607,34.081291,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.197831,34.1027498,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1983704,34.1025392,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1995371,34.1020775,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1997888,34.1019666,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1999864,34.1018677,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2001799,34.1017577,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2003774,34.1016275,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2005547,34.101494,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2007304,34.1013454,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2026834,34.0995285,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2028296,34.0993886,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2029583,34.0992554,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2030723,34.0991143,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2031876,34.0989644,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2033258,34.0987601,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2060777,34.0946238,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1525607,34.1191823,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1529767,34.1191763,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1532814,34.1191719,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1536943,34.1191659,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1569554,34.1191187,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1572366,34.1191147,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1575514,34.1191101,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1580904,34.1190999,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.1584251,34.1190999,"['3', '2']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2311816,34.0764317,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2316456,34.0759459,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2322719,34.0753121,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.232529,34.0750779,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2328006,34.0748063,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2333433,34.0742788,5,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1918556,34.1035387,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1920652,34.1033986,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1922327,34.1033024,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.192463,34.1032108,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1867412,34.1072667,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1869628,34.1070712,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.1871403,34.1069269,3,55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063419,34.0936459,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063473,34.0931861,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063486,34.0929351,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063526,34.0927174,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2063687,34.0925242,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2064023,34.0923487,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2064465,34.0921655,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2065082,34.0919778,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2065793,34.0918112,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2066557,34.0916612,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2067577,34.0915024,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2070962,34.0909567,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2076172,34.090113,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2077514,34.0899353,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2078775,34.0897687,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2080049,34.0896099,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
-118.2081122,34.0894844,"['3', '4']",55 mph,Arroyo Seco Parkway,CA 110,South
