Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-118.4724125,34.2658695,"['5', '7']",65 mph,Ronald Reagan Freeway,CA 118,East
-118.4676138,34.2658628,"['5', '7']",65 mph,Ronald Reagan Freeway,CA 118,East
-118.4671352,34.2658501,"['5', '7']",65 mph,Ronald Reagan Freeway,CA 118,East
-118.4670224,34.2658463,"['5', '7']",65 mph,Ronald Reagan Freeway,CA 118,East
-118.4666028,34.2658393,"['5', '7']",65 mph,Ronald Reagan Freeway,CA 118,East
-118.4348475,34.2683835,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4342758,34.2686313,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.433561,34.2689919,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4330972,34.269274,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4329911,34.2693458,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.432464,34.2697025,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.445847,34.2661504,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4457613,34.2661641,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4454121,34.2662223,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4437053,34.2665323,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4430032,34.2666629,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4411605,34.267005,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4405278,34.2671161,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4396075,34.2672823,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4387478,34.2674405,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4376686,34.2676342,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4364584,34.2678762,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4357784,34.2680579,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4353887,34.2681836,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4348475,34.2683835,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.449534,34.2657367,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4492616,34.265752,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4483979,34.2658301,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4475624,34.2659169,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.445847,34.2661504,3,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5077337,34.2778501,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5063876,34.2778787,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5029749,34.2779787,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5024973,34.2779926,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5018064,34.277989,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5012493,34.2779611,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.500367,34.2778692,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4960664,34.2765083,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4953904,34.2761365,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.494947,34.2758516,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.49367,34.2748568,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4932081,34.2744967,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4906348,34.2723863,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4898077,34.2717097,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.500367,34.2778692,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4996937,34.277757,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4991358,34.2776365,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4985926,34.2774947,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4980743,34.2773402,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4975662,34.2771783,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4971557,34.2770124,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4965389,34.2767487,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.4960664,34.2765083,6,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5320346,34.2764667,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5301554,34.2772335,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5293489,34.2775398,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5287047,34.2777414,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5279492,34.2779373,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5271188,34.2780742,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5263749,34.2781613,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5255998,34.2781846,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5229307,34.2781656,5,65 mph,Ronald Reagan Freeway,CA 118,East
-118.5215592,34.2781127,5,65 mph,Ronald Reagan Freeway,CA 118,East
