Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-117.8411962,34.1184705,7,65 mph,Foothill Freeway,I 210,East
-117.8398118,34.1191129,7,65 mph,Foothill Freeway,I 210,East
-117.8390964,34.1194242,7,65 mph,Foothill Freeway,I 210,East
-117.8382639,34.1197672,7,65 mph,Foothill Freeway,I 210,East
-117.8378322,34.1199227,7,65 mph,Foothill Freeway,I 210,East
-117.8373991,34.1200716,7,65 mph,Foothill Freeway,I 210,East
-117.8369495,34.1202098,7,65 mph,Foothill Freeway,I 210,East
-117.8794968,34.1208491,5,65 mph,Foothill Freeway,I 210,East
-117.8778277,34.1208054,5,65 mph,Foothill Freeway,I 210,East
-117.8762703,34.1207326,5,65 mph,Foothill Freeway,I 210,East
-117.8751158,34.1206582,5,65 mph,Foothill Freeway,I 210,East
-117.8728812,34.1205493,5,65 mph,Foothill Freeway,I 210,East
-117.872388,34.1205169,5,65 mph,Foothill Freeway,I 210,East
-117.8714287,34.1204649,5,65 mph,Foothill Freeway,I 210,East
-117.8707896,34.1204023,5,65 mph,Foothill Freeway,I 210,East
-117.8703353,34.1203303,5,65 mph,Foothill Freeway,I 210,East
-117.8694325,34.120146,5,65 mph,Foothill Freeway,I 210,East
-117.8687114,34.1199365,5,65 mph,Foothill Freeway,I 210,East
-117.8683326,34.1197939,5,65 mph,Foothill Freeway,I 210,East
-117.8944726,34.1208735,5,65 mph,Foothill Freeway,I 210,East
-117.8934741,34.1208469,5,65 mph,Foothill Freeway,I 210,East
-117.8922942,34.1208118,5,65 mph,Foothill Freeway,I 210,East
-117.8913934,34.1207769,5,65 mph,Foothill Freeway,I 210,East
-117.8893922,34.1207433,5,65 mph,Foothill Freeway,I 210,East
-118.0347936,34.1481142,5,65 mph,Foothill Freeway,I 210,East
-118.0339483,34.1480482,5,65 mph,Foothill Freeway,I 210,East
-118.0332788,34.1479914,5,65 mph,Foothill Freeway,I 210,East
-118.0326008,34.1479274,5,65 mph,Foothill Freeway,I 210,East
-118.0318869,34.1477816,5,65 mph,Foothill Freeway,I 210,East
-118.0312834,34.1476378,5,65 mph,Foothill Freeway,I 210,East
-118.030902,34.1475188,5,65 mph,Foothill Freeway,I 210,East
-118.030485,34.1473633,5,65 mph,Foothill Freeway,I 210,East
-118.0299143,34.147139,5,65 mph,Foothill Freeway,I 210,East
-118.0287813,34.1465991,5,65 mph,Foothill Freeway,I 210,East
-118.0287422,34.1465791,5,65 mph,Foothill Freeway,I 210,East
-118.0282276,34.1463279,5,65 mph,Foothill Freeway,I 210,East
-118.0275797,34.1460166,5,65 mph,Foothill Freeway,I 210,East
-118.0273024,34.1458838,5,65 mph,Foothill Freeway,I 210,East
-118.021077,34.1429261,5,65 mph,Foothill Freeway,I 210,East
-118.0208189,34.1428058,5,65 mph,Foothill Freeway,I 210,East
-118.019668,34.142246,5,65 mph,Foothill Freeway,I 210,East
-118.0185829,34.1417273,5,65 mph,Foothill Freeway,I 210,East
-118.0182179,34.1415182,5,65 mph,Foothill Freeway,I 210,East
-118.0178692,34.1412942,5,65 mph,Foothill Freeway,I 210,East
-118.0175472,34.141038,5,65 mph,Foothill Freeway,I 210,East
-118.0171827,34.1407131,5,65 mph,Foothill Freeway,I 210,East
-118.0169681,34.1404907,5,65 mph,Foothill Freeway,I 210,East
-118.0164608,34.1399923,5,65 mph,Foothill Freeway,I 210,East
