Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-117.920018,34.1283996,5,65 mph,Foothill Freeway,I 210,West
-117.921038,34.1285609,5,65 mph,Foothill Freeway,I 210,West
-117.9216391,34.1287078,5,65 mph,Foothill Freeway,I 210,West
-117.9222139,34.1288664,5,65 mph,Foothill Freeway,I 210,West
-117.9228537,34.1290691,5,65 mph,Foothill Freeway,I 210,West
-117.9236797,34.1293888,5,65 mph,Foothill Freeway,I 210,West
-117.9244584,34.1297459,5,65 mph,Foothill Freeway,I 210,West
-117.9255627,34.1302609,5,65 mph,Foothill Freeway,I 210,West
-117.9261311,34.1304798,5,65 mph,Foothill Freeway,I 210,West
-117.9267249,34.1306531,5,65 mph,Foothill Freeway,I 210,West
-117.9272228,34.1307635,5,65 mph,Foothill Freeway,I 210,West
-117.9278658,34.1308522,5,65 mph,Foothill Freeway,I 210,West
-117.9284452,34.1308932,5,65 mph,Foothill Freeway,I 210,West
-117.9287309,34.1309107,5,65 mph,Foothill Freeway,I 210,West
-117.9376396,34.1290219,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9380028,34.1289813,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9383641,34.1289531,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9387254,34.1289382,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.938998,34.1289369,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9394502,34.1289429,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9401226,34.1289938,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9410431,34.1291385,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9419559,34.1293827,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9428377,34.1296962,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9482262,34.1316202,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9499103,34.1322331,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.950643,34.1324997,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-117.9515909,34.1328405,"['5', '6']",65 mph,Foothill Freeway,I 210,West
-118.0462371,34.1490316,5,65 mph,Foothill Freeway,I 210,West
-118.0500715,34.1490089,5,65 mph,Foothill Freeway,I 210,West
-118.0504135,34.1490069,5,65 mph,Foothill Freeway,I 210,West
-118.0524592,34.1490017,5,65 mph,Foothill Freeway,I 210,West
-118.0533511,34.1489807,5,65 mph,Foothill Freeway,I 210,West
-118.0055706,34.1355829,5,65 mph,Foothill Freeway,I 210,West
-118.0057812,34.1355851,5,65 mph,Foothill Freeway,I 210,West
-118.0060132,34.1355907,5,65 mph,Foothill Freeway,I 210,West
-118.0064182,34.135614,5,65 mph,Foothill Freeway,I 210,West
-118.0068447,34.1356673,5,65 mph,Foothill Freeway,I 210,West
-118.0072926,34.1357439,5,65 mph,Foothill Freeway,I 210,West
-118.0076976,34.1358416,5,65 mph,Foothill Freeway,I 210,West
-118.0079953,34.1359304,5,65 mph,Foothill Freeway,I 210,West
-118.0084553,34.1360747,5,65 mph,Foothill Freeway,I 210,West
-118.0093217,34.1363566,5,65 mph,Foothill Freeway,I 210,West
-118.009779,34.1365234,5,65 mph,Foothill Freeway,I 210,West
-118.0120583,34.1372443,5,65 mph,Foothill Freeway,I 210,West
-118.0128225,34.1375022,5,65 mph,Foothill Freeway,I 210,West
-118.0135172,34.1377927,5,65 mph,Foothill Freeway,I 210,West
-118.0139456,34.1380368,5,65 mph,Foothill Freeway,I 210,West
-118.0141919,34.138178,5,65 mph,Foothill Freeway,I 210,West
