Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-117.9499342,33.7021852,5,65 mph,San Diego Freeway,I 405,North
-117.950609,33.7025741,5,65 mph,San Diego Freeway,I 405,North
-117.9510392,33.7028449,5,65 mph,San Diego Freeway,I 405,North
-117.9513212,33.7030545,5,65 mph,San Diego Freeway,I 405,North
-117.9515187,33.7032024,5,65 mph,San Diego Freeway,I 405,North
-117.9519192,33.7034979,5,65 mph,San Diego Freeway,I 405,North
-117.952136,33.703682,5,65 mph,San Diego Freeway,I 405,North
-117.9524737,33.703969,5,65 mph,San Diego Freeway,I 405,North
-117.953241,33.7045714,5,65 mph,San Diego Freeway,I 405,North
-117.9540063,33.7052273,5,65 mph,San Diego Freeway,I 405,North
-117.9546383,33.7057466,5,65 mph,San Diego Freeway,I 405,North
-117.9550713,33.7061122,5,65 mph,San Diego Freeway,I 405,North
-117.9553905,33.7063923,5,65 mph,San Diego Freeway,I 405,North
-117.9556578,33.7066041,5,65 mph,San Diego Freeway,I 405,North
-117.955943,33.7068517,5,65 mph,San Diego Freeway,I 405,North
-117.9562892,33.7071475,5,65 mph,San Diego Freeway,I 405,North
-117.9566306,33.7074369,5,65 mph,San Diego Freeway,I 405,North
-117.9569595,33.7076988,5,65 mph,San Diego Freeway,I 405,North
-117.9572967,33.70797,5,65 mph,San Diego Freeway,I 405,North
-117.9576146,33.7082296,5,65 mph,San Diego Freeway,I 405,North
-117.9578509,33.7084699,5,65 mph,San Diego Freeway,I 405,North
-117.7810515,33.6597172,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7818342,33.66016,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7820075,33.6602585,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7824605,33.6605161,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7830684,33.6608446,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7834435,33.6610396,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.78376,33.6611937,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7840614,33.6613337,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.784397,33.6614816,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7847463,33.6616278,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7851869,33.6617975,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7855508,33.6619226,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.785878,33.6620408,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7863637,33.6621877,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7868593,33.6623311,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.787396,33.6624623,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7879161,33.6625811,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.78851,33.6626929,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.7897652,33.6628926,"['5', '6']",65 mph,San Diego Freeway,I 405,North
-117.9370201,33.6966769,6,65 mph,San Diego Freeway,I 405,North
-117.9391751,33.6975555,6,65 mph,San Diego Freeway,I 405,North
-117.9415294,33.6985508,6,65 mph,San Diego Freeway,I 405,North
-117.9415294,33.6985508,6,65 mph,San Diego Freeway,I 405,North
-117.9435335,33.6993625,6,65 mph,San Diego Freeway,I 405,North
-117.9448521,33.6999147,6,65 mph,San Diego Freeway,I 405,North
