Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-117.7848054,33.6612349,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.784676,33.6611803,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7843849,33.6610541,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7840443,33.6609012,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7837922,33.6607806,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7835079,33.6606378,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.783253,33.660506,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7829795,33.6603576,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7818566,33.6597196,"['6', '7']",65 mph,San Diego Freeway,I 405,South
-117.7795967,33.6584112,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7792592,33.6583171,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7788194,33.6580905,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7783822,33.6578471,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7761023,33.6565466,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7747518,33.6557697,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7735542,33.655082,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7727978,33.6546444,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7723123,33.6543732,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7719194,33.6541744,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7715854,33.6540081,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7712891,33.6538708,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7710088,33.6537458,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7707164,33.6536219,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7704683,33.6535214,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7701357,33.653393,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7697468,33.6532568,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7693391,33.6531251,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7689515,33.6530001,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7685961,33.6528951,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7682649,33.652808,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7679618,33.6527355,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7675849,33.6526484,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7670458,33.6525412,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7665938,33.6524597,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7660909,33.6523872,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7650422,33.6522331,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.764086,33.6520836,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7638729,33.6519691,1,65 mph,San Diego Freeway,I 405 HOV,South
-117.7795967,33.6584112,4,65 mph,San Diego Freeway,I 405,South
-117.7776918,33.657317,4,65 mph,San Diego Freeway,I 405,South
-117.7773807,33.6571456,4,65 mph,San Diego Freeway,I 405,South
-117.7694102,33.6530268,4,65 mph,San Diego Freeway,I 405,South
-117.7686432,33.6528024,4,65 mph,San Diego Freeway,I 405,South
-117.7682709,33.6527025,4,65 mph,San Diego Freeway,I 405,South
-117.7679618,33.6526266,4,65 mph,San Diego Freeway,I 405,South
-117.7675038,33.6525228,4,65 mph,San Diego Freeway,I 405,South
-117.7671652,33.652457,4,65 mph,San Diego Freeway,I 405,South
-117.7668272,33.6523939,4,65 mph,San Diego Freeway,I 405,South
-117.7664229,33.6523291,4,65 mph,San Diego Freeway,I 405,South
-117.7638729,33.6519691,4,65 mph,San Diego Freeway,I 405,South
-117.7360988,33.644376,3,65 mph,San Diego Freeway,I 405,South
-117.7357753,33.6441793,3,65 mph,San Diego Freeway,I 405,South
-117.7354252,33.6439449,3,65 mph,San Diego Freeway,I 405,South
-117.7350497,33.6436747,3,65 mph,San Diego Freeway,I 405,South
-117.7347614,33.6434391,3,65 mph,San Diego Freeway,I 405,South
-117.7344717,33.6431812,3,65 mph,San Diego Freeway,I 405,South
-117.7343041,33.6430294,3,65 mph,San Diego Freeway,I 405,South
-117.7330451,33.6416618,3,65 mph,San Diego Freeway,I 405,South
-118.0014147,33.7415323,5,65 mph,San Diego Freeway,I 405,South
-118.000109,33.7405296,5,65 mph,San Diego Freeway,I 405,South
-117.9984766,33.7391573,5,65 mph,San Diego Freeway,I 405,South
-117.9980699,33.7388124,5,65 mph,San Diego Freeway,I 405,South
-117.9979024,33.7386521,5,65 mph,San Diego Freeway,I 405,South
-117.9967078,33.7376456,5,65 mph,San Diego Freeway,I 405,South
-117.9957204,33.7368786,5,65 mph,San Diego Freeway,I 405,South
-117.9935393,33.7353136,5,65 mph,San Diego Freeway,I 405,South
-117.80031,33.6640252,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-117.7984244,33.6637259,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-117.797525,33.6636025,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0120005,33.7504288,5,65 mph,San Diego Freeway,I 405,South
-118.0109073,33.7495126,5,65 mph,San Diego Freeway,I 405,South
-117.868263,33.6869426,6,65 mph,San Diego Freeway,I 405,South
-117.8678687,33.6868544,6,65 mph,San Diego Freeway,I 405,South
-117.8674033,33.6867417,6,65 mph,San Diego Freeway,I 405,South
-117.8670184,33.686648,6,65 mph,San Diego Freeway,I 405,South
-117.8665759,33.6865364,6,65 mph,San Diego Freeway,I 405,South
-117.8661977,33.6864315,6,65 mph,San Diego Freeway,I 405,South
-117.864707,33.6859398,6,65 mph,San Diego Freeway,I 405,South
-117.7818566,33.6597196,6,65 mph,San Diego Freeway,I 405,South
-117.7800174,33.6586654,6,65 mph,San Diego Freeway,I 405,South
-117.7795967,33.6584112,6,65 mph,San Diego Freeway,I 405,South
-117.7550455,33.6502131,5,65 mph,San Diego Freeway,I 405,South
-117.7515217,33.6491869,5,65 mph,San Diego Freeway,I 405,South
-117.7509714,33.6490186,5,65 mph,San Diego Freeway,I 405,South
-117.7509714,33.6490186,4,65 mph,San Diego Freeway,I 405,South
-117.747969,33.648185,4,65 mph,San Diego Freeway,I 405,South
-117.7452966,33.6473871,4,65 mph,San Diego Freeway,I 405,South
-117.7452966,33.6473871,5,65 mph,San Diego Freeway,I 405,South
-117.7434148,33.6468416,5,65 mph,San Diego Freeway,I 405,South
-117.7434148,33.6468416,5,65 mph,San Diego Freeway,I 405,South
-117.7403063,33.6459327,5,65 mph,San Diego Freeway,I 405,South
-117.7394265,33.6456739,5,65 mph,San Diego Freeway,I 405,South
-117.7394265,33.6456739,4,65 mph,San Diego Freeway,I 405,South
-117.7382959,33.6453399,4,65 mph,San Diego Freeway,I 405,South
-117.7379043,33.6452149,4,65 mph,San Diego Freeway,I 405,South
-117.7375475,33.6450826,4,65 mph,San Diego Freeway,I 405,South
-117.7372635,33.6449647,4,65 mph,San Diego Freeway,I 405,South
-117.7370071,33.6448542,4,65 mph,San Diego Freeway,I 405,South
-117.7366161,33.6446622,4,65 mph,San Diego Freeway,I 405,South
-117.7364036,33.6445472,4,65 mph,San Diego Freeway,I 405,South
-117.7360988,33.644376,4,65 mph,San Diego Freeway,I 405,South
-118.0386215,33.7726871,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0382509,33.7723877,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0378823,33.7720795,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0363491,33.7707941,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0357808,33.7703227,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0352602,33.7698791,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0347025,33.7694037,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0340657,33.7688697,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0336093,33.7684912,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0330403,33.7680139,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.032409,33.767505,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0304887,33.7659148,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0295083,33.7650974,"['5', '6']",65 mph,San Diego Freeway,I 405,South
-118.0268928,33.7629397,"['5', '6']",65 mph,San Diego Freeway,I 405,South
