Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-118.2225479,34.049988,2,55 mph,Santa Ana Freeway,US 101,North
-118.2227024,34.0502443,2,55 mph,Santa Ana Freeway,US 101,North
-118.2232357,34.0513227,2,55 mph,Santa Ana Freeway,US 101,North
-118.2234159,34.0515645,2,55 mph,Santa Ana Freeway,US 101,North
-118.2236048,34.0517778,2,55 mph,Santa Ana Freeway,US 101,North
-118.2238708,34.0520054,2,55 mph,Santa Ana Freeway,US 101,North
-118.2241541,34.0521902,2,55 mph,Santa Ana Freeway,US 101,North
-118.224394,34.0523276,2,55 mph,Santa Ana Freeway,US 101,North
-118.2245266,34.0523872,2,55 mph,Santa Ana Freeway,US 101,North
-118.2247548,34.052472,2,55 mph,Santa Ana Freeway,US 101,North
-118.2249274,34.0525264,2,55 mph,Santa Ana Freeway,US 101,North
-118.2250999,34.0525764,2,55 mph,Santa Ana Freeway,US 101,North
-118.2253397,34.0526066,2,55 mph,Santa Ana Freeway,US 101,North
-118.2260384,34.0527079,2,55 mph,Santa Ana Freeway,US 101,North
-118.3141297,34.0976985,4,55 mph,Hollywood Freeway,US 101,North
-118.3144607,34.0982051,4,55 mph,Hollywood Freeway,US 101,North
-118.3147906,34.0987548,4,55 mph,Hollywood Freeway,US 101,North
-118.2581893,34.0687318,4,55 mph,Hollywood Freeway,US 101,North
-118.2609165,34.0696821,4,55 mph,Hollywood Freeway,US 101,North
-118.304762,34.0882714,4,55 mph,Hollywood Freeway,US 101,North
-118.3049393,34.0884979,4,55 mph,Hollywood Freeway,US 101,North
-118.3051011,34.0887164,4,55 mph,Hollywood Freeway,US 101,North
-118.3052496,34.0889365,4,55 mph,Hollywood Freeway,US 101,North
-118.3053916,34.0891625,4,55 mph,Hollywood Freeway,US 101,North
-118.3065949,34.0911644,4,55 mph,Hollywood Freeway,US 101,North
-118.3067399,34.0913956,4,55 mph,Hollywood Freeway,US 101,North
-118.3068773,34.0916232,4,55 mph,Hollywood Freeway,US 101,North
-118.3070286,34.0918536,4,55 mph,Hollywood Freeway,US 101,North
-118.3071857,34.0920719,4,55 mph,Hollywood Freeway,US 101,North
-118.3073555,34.092286,4,55 mph,Hollywood Freeway,US 101,North
-118.307543,34.0924998,4,55 mph,Hollywood Freeway,US 101,North
-118.3077499,34.0927115,4,55 mph,Hollywood Freeway,US 101,North
-118.3079494,34.0928943,4,55 mph,Hollywood Freeway,US 101,North
-118.3081658,34.0930791,4,55 mph,Hollywood Freeway,US 101,North
-118.3083919,34.0932568,4,55 mph,Hollywood Freeway,US 101,North
-118.3086203,34.0934192,4,55 mph,Hollywood Freeway,US 101,North
-118.308873,34.0935832,4,55 mph,Hollywood Freeway,US 101,North
-118.3114905,34.0952236,4,55 mph,Hollywood Freeway,US 101,North
-118.3117419,34.0953851,4,55 mph,Hollywood Freeway,US 101,North
-118.3119661,34.0955374,4,55 mph,Hollywood Freeway,US 101,North
-118.3122188,34.0957177,4,55 mph,Hollywood Freeway,US 101,North
-118.2782446,34.0763978,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2789255,34.0765862,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2793484,34.0767094,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2796855,34.0768002,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2800075,34.0768826,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2803287,34.0769616,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.280682,34.0770438,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2810453,34.0771269,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2820195,34.0773493,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.2841549,34.0778398,4,55 mph,Hollywood Freeway,US 101;CA 2,North
-118.4280404,34.1557246,5,65 mph,Ventura Freeway,US 101,North
-118.4284244,34.1557167,5,65 mph,Ventura Freeway,US 101,North
-118.4286779,34.1557128,5,65 mph,Ventura Freeway,US 101,North
-118.4310594,34.1557196,5,65 mph,Ventura Freeway,US 101,North
-118.431432,34.1557229,5,65 mph,Ventura Freeway,US 101,North
-118.4345069,34.1557309,5,65 mph,Ventura Freeway,US 101,North
-118.427995,34.1555305,5,65 mph,Ventura Freeway,US 101,North
-118.4273909,34.1555628,5,65 mph,Ventura Freeway,US 101,North
-118.4265854,34.1556736,5,65 mph,Ventura Freeway,US 101,North
-118.4259095,34.1558023,5,65 mph,Ventura Freeway,US 101,North
-118.4239408,34.156264,5,65 mph,Ventura Freeway,US 101,North
-118.42319,34.1564325,5,65 mph,Ventura Freeway,US 101,North
-118.4229562,34.1564819,5,65 mph,Ventura Freeway,US 101,North
-118.4226772,34.1565323,5,65 mph,Ventura Freeway,US 101,North
-118.4223668,34.1565794,5,65 mph,Ventura Freeway,US 101,North
-118.4219968,34.156623,5,65 mph,Ventura Freeway,US 101,North
-118.4214785,34.156671,5,65 mph,Ventura Freeway,US 101,North
-118.4210151,34.156693,5,65 mph,Ventura Freeway,US 101,North
-118.4170416,34.1566666,5,65 mph,Ventura Freeway,US 101,North
-118.3195605,34.104022,4,55 mph,Hollywood Freeway,US 101,North
-118.3198749,34.1041079,4,55 mph,Hollywood Freeway,US 101,North
-118.3201702,34.1041874,4,55 mph,Hollywood Freeway,US 101,North
-118.3204651,34.104252,4,55 mph,Hollywood Freeway,US 101,North
-118.32077,34.104305,4,55 mph,Hollywood Freeway,US 101,North
-118.3210859,34.104346,4,55 mph,Hollywood Freeway,US 101,North
-118.3213902,34.1043706,4,55 mph,Hollywood Freeway,US 101,North
-118.3217014,34.1043872,4,55 mph,Hollywood Freeway,US 101,North
-118.3220006,34.1043967,4,55 mph,Hollywood Freeway,US 101,North
-118.3222661,34.1044019,4,55 mph,Hollywood Freeway,US 101,North
-118.3226186,34.1044085,4,55 mph,Hollywood Freeway,US 101,North
-118.3230166,34.1044178,4,55 mph,Hollywood Freeway,US 101,North
-118.3233318,34.1044348,4,55 mph,Hollywood Freeway,US 101,North
-118.3236384,34.1044619,4,55 mph,Hollywood Freeway,US 101,North
-118.3239451,34.1045032,4,55 mph,Hollywood Freeway,US 101,North
-118.3242616,34.1045625,4,55 mph,Hollywood Freeway,US 101,North
-118.3245607,34.1046341,4,55 mph,Hollywood Freeway,US 101,North
-118.3248517,34.1047168,4,55 mph,Hollywood Freeway,US 101,North
-118.3250894,34.104795,4,55 mph,Hollywood Freeway,US 101,North
-118.3253166,34.1048787,4,55 mph,Hollywood Freeway,US 101,North
-118.3255296,34.1049657,4,55 mph,Hollywood Freeway,US 101,North
-118.325738,34.1050591,4,55 mph,Hollywood Freeway,US 101,North
