Longitude,Latitude,lanes,maxspeed,road_name,ref,direction
-118.2951966,34.0811293,5,55 mph,Hollywood Freeway,US 101;CA 2,South
-118.294432,34.0807807,5,55 mph,Hollywood Freeway,US 101;CA 2,South
-118.4748801,34.1649892,6,65 mph,Ventura Freeway,US 101,South
-118.4746193,34.1649043,6,65 mph,Ventura Freeway,US 101,South
-118.4743479,34.1648048,6,65 mph,Ventura Freeway,US 101,South
-118.4740673,34.1646829,6,65 mph,Ventura Freeway,US 101,South
-118.473787,34.1645339,6,65 mph,Ventura Freeway,US 101,South
-118.4734207,34.1643021,6,65 mph,Ventura Freeway,US 101,South
-118.4732376,34.1641689,6,65 mph,Ventura Freeway,US 101,South
-118.4730505,34.1640109,6,65 mph,Ventura Freeway,US 101,South
-118.4727526,34.1637255,6,65 mph,Ventura Freeway,US 101,South
-118.4725752,34.1635154,6,65 mph,Ventura Freeway,US 101,South
-118.4723835,34.163263,6,65 mph,Ventura Freeway,US 101,South
-118.472192,34.1629678,6,65 mph,Ventura Freeway,US 101,South
-118.401071,34.1555193,5,65 mph,Ventura Freeway,US 101,South
-118.4002612,34.1551168,5,65 mph,Ventura Freeway,US 101,South
-118.3999058,34.1549502,5,65 mph,Ventura Freeway,US 101,South
-118.3995846,34.154816,5,65 mph,Ventura Freeway,US 101,South
-118.3991823,34.1546897,5,65 mph,Ventura Freeway,US 101,South
-118.3988653,34.1545989,5,65 mph,Ventura Freeway,US 101,South
-118.3983712,34.1544859,5,65 mph,Ventura Freeway,US 101,South
-118.397842,34.1544078,5,65 mph,Ventura Freeway,US 101,South
-118.3974043,34.1543723,5,65 mph,Ventura Freeway,US 101,South
-118.3970181,34.154351,5,65 mph,Ventura Freeway,US 101,South
-118.3966799,34.154351,5,65 mph,Ventura Freeway,US 101,South
-118.3962919,34.1543541,5,65 mph,Ventura Freeway,US 101,South
-118.3953837,34.1543503,5,65 mph,Ventura Freeway,US 101,South
-118.392787,34.1543473,5,65 mph,Ventura Freeway,US 101,South
-118.3555649,34.1338462,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.355259,34.1337638,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3549563,34.1336902,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3546505,34.1336208,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3544912,34.1335872,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3538838,34.1334586,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3535888,34.1333943,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3532834,34.1333206,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3529824,34.13324,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3526996,34.133152,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3524274,34.1330557,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.352154,34.1329466,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3516239,34.132699,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3511119,34.1324083,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3508677,34.1322465,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.350644,34.1320829,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3504237,34.1319073,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3502066,34.1317185,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.2441147,34.0579715,4,55 mph,Santa Ana Freeway,US 101,South
-118.2411218,34.056052,4,55 mph,Santa Ana Freeway,US 101,South
-118.4621743,34.1595676,6,65 mph,Ventura Freeway,US 101,South
-118.463712,34.1595148,6,65 mph,Ventura Freeway,US 101,South
-118.2321656,34.0534948,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.231586,34.0534339,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.2303459,34.0532611,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.2294336,34.0531219,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.2292211,34.05309,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.228946,34.0530487,"['5', '4']",55 mph,Santa Ana Freeway,US 101,South
-118.3469499,34.1285619,5,55 mph,Hollywood Freeway,US 101,South
-118.3457181,34.1273605,5,55 mph,Hollywood Freeway,US 101,South
-118.3455187,34.1271526,5,55 mph,Hollywood Freeway,US 101,South
-118.3453219,34.1269388,5,55 mph,Hollywood Freeway,US 101,South
-118.3451452,34.1267274,5,55 mph,Hollywood Freeway,US 101,South
-118.3449844,34.1265129,5,55 mph,Hollywood Freeway,US 101,South
-118.3448358,34.1262961,5,55 mph,Hollywood Freeway,US 101,South
-118.3445189,34.125818,5,55 mph,Hollywood Freeway,US 101,South
-118.3443739,34.1256016,5,55 mph,Hollywood Freeway,US 101,South
-118.3442109,34.1253729,5,55 mph,Hollywood Freeway,US 101,South
-118.3440456,34.1251497,5,55 mph,Hollywood Freeway,US 101,South
-118.3438734,34.1249427,5,55 mph,Hollywood Freeway,US 101,South
-118.3436855,34.1247305,5,55 mph,Hollywood Freeway,US 101,South
-118.3434945,34.1245404,5,55 mph,Hollywood Freeway,US 101,South
-118.343272,34.1243412,5,55 mph,Hollywood Freeway,US 101,South
-118.3405843,34.1220339,5,55 mph,Hollywood Freeway,US 101,South
-118.3403746,34.1218425,5,55 mph,Hollywood Freeway,US 101,South
-118.3401722,34.121645,5,55 mph,Hollywood Freeway,US 101,South
-118.3399769,34.1214464,5,55 mph,Hollywood Freeway,US 101,South
-118.3397811,34.1212397,5,55 mph,Hollywood Freeway,US 101,South
-118.3395851,34.1210312,5,55 mph,Hollywood Freeway,US 101,South
-118.3393897,34.1208275,5,55 mph,Hollywood Freeway,US 101,South
-118.3392844,34.1207026,5,55 mph,Hollywood Freeway,US 101,South
-118.3390987,34.1204821,5,55 mph,Hollywood Freeway,US 101,South
-118.3388347,34.1201271,5,55 mph,Hollywood Freeway,US 101,South
-118.548174,34.1733886,5,65 mph,Ventura Freeway,US 101,South
-118.5448962,34.173337,5,65 mph,Ventura Freeway,US 101,South
-118.5445794,34.1733306,5,65 mph,Ventura Freeway,US 101,South
-118.5398408,34.1732557,5,65 mph,Ventura Freeway,US 101,South
-118.5567405,34.173516,5,65 mph,Ventura Freeway,US 101,South
-118.5536669,34.1734861,5,65 mph,Ventura Freeway,US 101,South
-118.5532995,34.1734807,5,65 mph,Ventura Freeway,US 101,South
-118.548174,34.1733886,5,65 mph,Ventura Freeway,US 101,South
-118.3701059,34.1466564,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3696999,34.1463494,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3693737,34.1460865,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3691506,34.1458876,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3688673,34.1456035,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.368627,34.1453265,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.368421,34.1450565,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3682493,34.1448008,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3681028,34.144536,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3679862,34.1443027,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3678773,34.1440665,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3677516,34.1437914,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3675953,34.1434413,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3666077,34.1412708,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3664946,34.1410345,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3663657,34.1407994,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3662214,34.1405635,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.36607,34.1403376,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3659122,34.1401236,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3657418,34.1399096,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3655529,34.1396991,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3653435,34.1394962,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3651425,34.1393095,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3649344,34.1391282,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3647135,34.1389442,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3644875,34.1387674,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3642548,34.1385901,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3640179,34.1384153,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3631196,34.1377631,"['5', '6']",55 mph,Hollywood Freeway,US 101,South
-118.3748016,34.1509317,6,55 mph,Hollywood Freeway,US 101,South
-118.3744849,34.1505021,6,55 mph,Hollywood Freeway,US 101,South
-118.3742954,34.1502538,6,55 mph,Hollywood Freeway,US 101,South
-118.3733725,34.1490976,6,55 mph,Hollywood Freeway,US 101,South
-118.3731083,34.1488273,6,55 mph,Hollywood Freeway,US 101,South
-118.372963,34.1486961,6,55 mph,Hollywood Freeway,US 101,South
-118.224103,34.0527174,3,65 mph,San Bernardino Freeway,US 101,South
