Longitude,Latitude
-118.0900368,33.7798684
-118.090431,33.7812977
-117.9499342,33.7021852
-117.950609,33.7025741
-117.9510392,33.7028449
-117.9513212,33.7030545
-117.9515187,33.7032024
-117.9519192,33.7034979
-117.952136,33.703682
-117.9524737,33.703969
-117.953241,33.7045714
-117.9540063,33.7052273
-117.9546383,33.7057466
-117.9550713,33.7061122
-117.9553905,33.7063923
-117.9556578,33.7066041
-117.955943,33.7068517
-117.9562892,33.7071475
-117.9566306,33.7074369
-117.9569595,33.7076988
-117.9572967,33.70797
-117.9576146,33.7082296
-117.9578509,33.7084699
-117.7810515,33.6597172
-117.7818342,33.66016
-117.7820075,33.6602585
-117.7824605,33.6605161
-117.7830684,33.6608446
-117.7834435,33.6610396
-117.78376,33.6611937
-117.7840614,33.6613337
-117.784397,33.6614816
-117.7847463,33.6616278
-117.7851869,33.6617975
-117.7855508,33.6619226
-117.785878,33.6620408
-117.7863637,33.6621877
-117.7868593,33.6623311
-117.787396,33.6624623
-117.7879161,33.6625811
-117.78851,33.6626929
-117.7897652,33.6628926
-117.9370201,33.6966769
-117.9391751,33.6975555
-117.9415294,33.6985508
-117.9415294,33.6985508
-117.9435335,33.6993625
-117.9448521,33.6999147
-117.9460743,33.7004212
-117.9474313,33.7009608
-117.9480655,33.7012466
-117.9484724,33.7014382
-117.9488996,33.7016524
-117.9494082,33.7019069
-117.9499342,33.7021852
-117.9173068,33.6886909
-117.9185357,33.6890244
-117.9190862,33.6891925
-117.9197169,33.6894281
-117.92032,33.6896823
-117.9217452,33.6903283
-117.9224169,33.690642
-117.9049474,33.6875163
-117.9032454,33.6875225
-117.7303116,33.6390322
-117.7303854,33.6392657
-117.7311671,33.6403921
-117.7332283,33.6433127
-117.7333693,33.6435072
-117.733522,33.6436976
-117.7337073,33.6438902
-117.7338665,33.6440362
-117.7340519,33.6441816
-117.7342157,33.6443027
-117.734347,33.6443859
-117.7344453,33.6444479
-117.7347091,33.6445846
-117.7348767,33.6446617
-117.7350761,33.6447451
-117.7354132,33.6448581
-117.7359084,33.6450013
-117.7364789,33.6451662
-117.7511146,33.649391
-117.7513629,33.6494602
-117.7536402,33.6501271
-117.755715,33.6507365
-117.7559472,33.6508032
-117.756345,33.6509211
-117.7570599,33.6511265
-117.7575669,33.6512552
-117.7580148,33.6513559
-117.7584265,33.6514416
-117.7588731,33.6515242
-117.7596952,33.6516515
-117.7596952,33.6516515
-117.7622974,33.6520293
-117.7641571,33.6523059
-117.9041518,33.6880266
-117.9060136,33.6880197
-117.9075216,33.6880167
-117.9081193,33.6880258
-117.9089181,33.6880444
-117.9101343,33.6880619
-117.9116502,33.6881074
-117.91315,33.6881372
-117.9136765,33.6881547
-117.9141485,33.688178
-117.9145858,33.6882125
-117.9150076,33.6882622
-117.9156734,33.6883498
-117.9161357,33.6884286
-117.9166093,33.6885177
-117.91698,33.688602
-117.9173068,33.6886909
-117.7897652,33.6628926
-117.7914755,33.6631108
-117.795042,33.6636213
-117.7740922,33.6557113
-117.7745271,33.6559659
-117.7474147,33.6483113
-117.7511146,33.649391
-117.7341336,33.6446033
-117.7344528,33.6448315
-117.7346823,33.6449731
-117.7349315,33.6451153
-117.7352375,33.6452612
-117.73555,33.6453873
-117.7358919,33.6454945
-117.7361843,33.6455738
-117.736541,33.6456564
-117.7392983,33.6462693
-117.7400274,33.6464398
-117.7400274,33.6464398
-117.740819,33.6466097
-117.7415311,33.6467733
-117.7436186,33.6472064
-117.7364789,33.6451662
-117.7375449,33.6454565
-117.7436186,33.6472064
-118.095798,33.7880039
-118.0963686,33.788428
-118.0965747,33.7885806
-118.0970101,33.7889021
-118.097906,33.7895768
-118.0986673,33.7901396
-118.0988702,33.7902911
-118.0997045,33.790915
-118.1003018,33.7913769
-118.1014219,33.7922001
-118.0696137,33.7745674
-118.0739959,33.7746433
-118.0346094,33.7697955
-118.035695,33.7707181
-118.0368497,33.7716381
-118.0379354,33.7725632
-118.0382669,33.7728537
-118.0385083,33.7730398
-118.0387154,33.7731903
-118.0390348,33.7734035
-118.0392549,33.7735354
-118.0395302,33.7736923
-118.0397722,33.773826
-118.0400201,33.7739441
-118.0402601,33.774051
-118.0405437,33.774169
-118.040851,33.7742915
-118.0412039,33.7744065
-118.0417453,33.7745659
-118.0420728,33.7746487
-118.0424233,33.7747245
-118.0434246,33.7748459
-118.0436878,33.7748664
-118.0438756,33.7748724
-118.0441864,33.774881
-118.0444716,33.7748686
-118.0447521,33.7748498
-118.045156,33.7748229
-118.0455311,33.7747919
-118.0469474,33.7746621
-118.0476569,33.7745984
-118.0484022,33.7745465
-118.0492788,33.774511
-118.0185531,33.7564325
-118.0198523,33.7575196
-118.0219097,33.7592283
-118.0241777,33.7610552
-117.7436186,33.6472064
-117.7452162,33.647661
-118.1080267,33.7971233
-118.1082354,33.7972804
-118.1115332,33.7997393
-118.1122206,33.8002516
-117.7452162,33.647661
-117.7474147,33.6483113
-117.7641571,33.6523059
-117.766744,33.652616
-117.7677029,33.6528069
-117.7681603,33.6529141
-117.7691272,33.6531876
-117.7699614,33.65347
-117.7704026,33.6536431
-117.7710128,33.6539099
-117.7715921,33.6541789
-117.7721581,33.6544747
-117.7727643,33.6548163
-117.7740128,33.6555431
-117.7745271,33.6559659
-117.7641571,33.6523059
-117.7646787,33.6523816
-117.7652719,33.6524734
-117.7660064,33.6525881
-117.767633,33.6529085
-117.9578509,33.7084699
-117.9581556,33.708731
-117.9592311,33.7096105
-117.9597219,33.7100418
-117.9602145,33.7104508
-117.962321,33.7121671
-117.962825,33.7125674
-117.9632145,33.7128846
-117.9637792,33.713361
-117.9637792,33.713361
-117.966535,33.7157716
-117.9675642,33.7166649
-117.9675642,33.7166649
-117.9694768,33.7182773
-117.97145,33.7197893
-117.976175,33.7236689
-117.9772074,33.7244527
-117.9787273,33.7255004
-117.9823447,33.728032
-117.9858549,33.7304454
-117.9858549,33.7304454
-117.9868311,33.731134
-117.9879768,33.7319242
-117.9890216,33.7326944
-117.9896961,33.733166
-117.9905593,33.733772
-117.9929041,33.7354133
-117.8906261,33.6875738
-117.891102,33.6875804
-117.8923053,33.6876033
-117.8944634,33.6876315
-117.8944634,33.6876315
-117.8995371,33.6877665
-117.9018251,33.6879016
-118.002843,33.743311
-118.0036687,33.7439765
-118.0086454,33.7481562
-118.011922,33.750899
-118.0123643,33.75125
-118.0140007,33.7526173
-118.0162148,33.7544577
-118.0169445,33.7550906
-118.0179638,33.7559126
-118.0185531,33.7564325
-118.1014219,33.7922001
-118.101958,33.7925997
-118.103132,33.7934744
-118.1039414,33.7940712
-118.1049832,33.7948528
-118.1054895,33.79523
-118.1057137,33.7954042
-118.1057137,33.7954042
-118.1060484,33.7956461
-118.1075997,33.7967972
-118.1080267,33.7971233
-117.817969,33.6679938
-117.8224406,33.6694899
-117.8224406,33.6694899
-117.8236976,33.6699166
-117.8263711,33.6708188
-117.8263711,33.6708188
-117.8266749,33.6709192
-117.828819,33.6716384
-117.834447,33.6735295
-117.8354792,33.673883
-117.8364523,33.6742068
-117.836898,33.6743566
-117.8379579,33.6747424
-117.8627711,33.6854375
-117.8643107,33.6861391
-117.8645623,33.6862474
-117.8649904,33.6864188
-117.8654106,33.6865719
-117.8659707,33.686748
-117.8662781,33.6868332
-117.8665688,33.6869036
-117.8670265,33.6870073
-117.8674398,33.6870933
-117.8677399,33.6871401
-117.868357,33.687226
-117.8688021,33.6872696
-117.8692484,33.6873137
-117.8701472,33.68738
-117.8707775,33.6874079
-117.8711418,33.6874159
-117.8740823,33.6874753
-117.7782924,33.6581219
-117.7789685,33.658513
-117.7796656,33.6589132
-117.795042,33.6636213
-117.7976878,33.6639978
-117.7988663,33.6641634
-117.8379579,33.6747424
-117.8403726,33.6755495
-117.840828,33.675727
-117.8412707,33.6759119
-117.8435116,33.6769074
-117.852875,33.6810348
-117.8531594,33.6811593
-117.8569925,33.6828606
-117.8569925,33.6828606
-117.8576439,33.6831668
-117.8585978,33.6836107
-117.8435116,33.6769074
-117.8442583,33.6772581
-117.8464472,33.6782429
-117.8464472,33.6782429
-117.852875,33.6810348
-118.0241777,33.7610552
-118.0243777,33.761221
-118.0255896,33.7622753
-118.0277004,33.7640238
-118.029686,33.7656801
-118.0317305,33.7673755
-118.0346094,33.7697955
-117.9938407,33.736067
-117.9946334,33.7366203
-117.995305,33.7371008
-117.9961133,33.7377151
-117.9966411,33.7381335
-117.9980782,33.7393187
-117.9984915,33.7396647
-117.999491,33.7405086
-118.002843,33.743311
-117.9224169,33.690642
-117.923131,33.6909434
-117.9247613,33.6916261
-117.9279992,33.6929721
-117.9279992,33.6929721
-117.92876,33.6932761
-117.9318758,33.6945703
-117.9340018,33.6954431
-117.9353107,33.695972
-117.936284,33.6963734
-117.9370201,33.6966769
-117.8880495,33.6875169
-117.8890192,33.6875198
-117.8906261,33.6875738
-118.0476214,33.7741371
-118.046839,33.7741933
-118.0460736,33.7742881
-118.0452672,33.774365
-118.082404,33.774226
-118.078131,33.7742308
-118.0772234,33.7742406
-118.0739959,33.7746433
-118.0742516,33.7746341
-118.0788956,33.7746472
-117.7745271,33.6559659
-117.7746031,33.6560094
-117.7750465,33.6562635
-117.7751692,33.6563338
-117.7782924,33.6581219
-117.767633,33.6529085
-117.7677579,33.6529331
-117.7682702,33.6530581
-117.7684717,33.6531121
-117.7687074,33.6531753
-117.7692211,33.6533305
-117.7697843,33.6535225
-117.7699717,33.6535927
-117.7703087,33.653719
-117.7707727,33.6539121
-117.7718282,33.65442
-117.7724102,33.6547382
-117.7740922,33.6557113
-117.7988663,33.6641634
-117.8004775,33.6643934
-117.8043005,33.6649281
-117.8049291,33.665017
-117.8067173,33.6652662
-117.8087562,33.6655521
-117.8091459,33.6656111
-117.8098217,33.6657134
-117.8103675,33.6658036
-117.8109212,33.6659102
-117.8114739,33.6660235
-117.8120943,33.6661638
-117.8127045,33.6663125
-117.8133276,33.6664816
-117.8137283,33.6665939
-117.8141409,33.6667187
-117.8154252,33.6671365
-117.8164789,33.6674924
-117.817969,33.6679938
-117.7796656,33.6589132
-117.7810515,33.6597172
-117.7796656,33.6589132
-117.780021,33.6590158
-117.7812132,33.6596711
-117.7827475,33.6605563
-117.783072,33.6607326
-117.7835414,33.660976
-117.7839276,33.6611546
-117.7843139,33.6613354
-117.7848101,33.6615386
-117.7853707,33.6617551
-117.7859607,33.6619493
-117.7865857,33.6621436
-117.7871087,33.6622842
-117.7875888,33.6623981
-117.7880716,33.662503
-117.7887207,33.6626236
-117.7893886,33.6627218
-117.7963986,33.6637141
-117.7974848,33.6638782
-117.7980535,33.6639652
-117.7985216,33.6640355
-117.7988663,33.6641634
-117.8740823,33.6874753
-117.8749428,33.6874702
-117.8762194,33.6875126
-117.8773664,33.6875664
-117.8779377,33.6875943
-117.8782419,33.6876044
-117.8788792,33.6876099
-117.8797451,33.6876027
-117.8818558,33.6875514
-118.0788956,33.7746472
-118.08154,33.7746171
-118.0824497,33.7746214
-118.0833103,33.7746257
-118.0833682,33.7746266
-118.0837937,33.7746385
-118.0842293,33.774671
-118.0846557,33.7747355
-118.08527,33.7748648
-118.0856487,33.7749716
-118.085999,33.7750852
-118.0862015,33.7751617
-118.0864951,33.7752957
-118.0867122,33.7753967
-118.0869673,33.7755231
-118.0873559,33.7757552
-118.087654,33.7759578
-118.0879228,33.7761793
-118.0882643,33.7764574
-118.0884606,33.7766593
-118.0886489,33.7768752
-118.0888379,33.7771074
-118.0890296,33.7773684
-118.0892031,33.7776185
-118.0893364,33.7778606
-118.0894036,33.7779777
-118.0894695,33.7781222
-118.0895579,33.7783385
-118.0896552,33.7786112
-118.0899328,33.7794884
-118.0900368,33.7798684
-117.8585978,33.6836107
-117.8589527,33.68377
-117.8605027,33.6844262
-117.8619002,33.6850486
-117.8620359,33.6851081
-117.8627711,33.6854375
-118.0850954,33.7746914
-118.0857317,33.774881
-118.086018,33.7749795
-118.0863326,33.775103
-118.0867588,33.7752907
-118.0869426,33.7753861
-118.0871265,33.7754932
-118.0874426,33.7756907
-118.0877446,33.7758985
-118.0879598,33.7760658
-118.0881733,33.7762478
-118.0883945,33.7764565
-118.0886023,33.7766764
-118.0887863,33.77689
-118.0889563,33.7771138
-118.0891017,33.7773093
-118.0892381,33.7775092
-118.0893675,33.7777149
-118.0894846,33.7779265
-118.0896376,33.7782384
-118.089735,33.7784667
-118.089827,33.7786995
-118.0899062,33.7789385
-118.0899783,33.7791805
-118.0902053,33.7800889
-118.090431,33.7812977
-117.97145,33.7197893
-117.971828,33.7201045
-117.9929041,33.7354133
-117.9938407,33.736067
-117.9077473,33.6878973
-117.9133553,33.6880491
-117.9137604,33.6880614
-117.9141584,33.6880797
-117.9145625,33.6881094
-117.9149569,33.6881474
-117.9153566,33.6881904
-117.915751,33.6882467
-117.9161497,33.6883092
-117.9165424,33.6883818
-117.9170794,33.6884942
-117.9176164,33.6886195
-117.9181504,33.6887601
-117.9186751,33.6889238
-117.9191141,33.6890712
-117.9197242,33.6892955
-117.9204089,33.6895823
-117.9215462,33.6900826
-117.9220814,33.6903167
-117.9225968,33.6905419
-117.9231395,33.6907794
-117.9236718,33.6910138
-117.9242314,33.6912606
-117.9247919,33.6915042
-117.9262894,33.6921432
-117.9293276,33.6934033
-117.9300717,33.6937147
-117.9319883,33.6944843
-117.9328924,33.6948463
-117.9340891,33.6953269
-117.9353878,33.6958484
-117.9394145,33.6975209
-117.9399368,33.6977375
-117.940459,33.6979554
-117.940992,33.6981771
-117.9415297,33.6983976
-117.9420365,33.6986052
-117.9425695,33.6988192
-117.9431241,33.6990474
-117.9436525,33.6992691
-117.9467228,33.7005418
-117.9476486,33.7009263
-117.9482387,33.7011813
-117.9487932,33.7014402
-117.9493016,33.7017042
-117.9498639,33.7020079
-117.9503915,33.7023149
-117.9508976,33.7026372
-117.9511487,33.7028051
-117.9515171,33.7030575
-117.9518831,33.703322
-117.9522306,33.7035905
-117.9525174,33.7038191
-117.9527949,33.7040529
-117.9557157,33.7065169
-117.9567245,33.7073657
-117.9574104,33.7079405
-117.9588693,33.7091541
-117.9604422,33.7104702
-117.9607761,33.7107518
-117.9612278,33.7111327
-117.9619939,33.7117687
-117.9628645,33.7124988
-117.9634874,33.7130243
-117.9641988,33.713619
-117.9646094,33.7139679
-117.965027,33.7143241
-117.9654411,33.71467
-117.9658605,33.7150203
-117.9662816,33.7153677
-117.9666975,33.7157151
-117.9018251,33.6879016
-117.9041518,33.6880266
-117.9666975,33.7157151
-117.9671585,33.7161088
-117.9676336,33.7165026
-117.9680795,33.7168838
-117.9685308,33.7172636
-117.9689838,33.7176389
-117.9694209,33.7180036
-117.9698474,33.7183572
-117.9702208,33.7186678
-117.9706118,33.7189901
-117.9709923,33.7193081
-117.9713745,33.7196245
-117.9721638,33.720281
-117.9725708,33.720618
-117.9725708,33.720618
-117.972992,33.7209639
-117.9734202,33.7213186
-117.9738343,33.7216631
-117.9744826,33.7222013
-117.975062,33.7226843
-117.9756373,33.7231472
-117.9762146,33.7235912
-117.9768081,33.7240306
-117.9774116,33.7244567
-117.9780201,33.7248821
-117.9787765,33.7254036
-117.9800613,33.7262992
-117.9813291,33.7271807
-117.9834643,33.7286644
-117.9842623,33.7292255
-117.9848723,33.729647
-117.9853129,33.7299571
-117.9860894,33.730499
-117.9868242,33.7310115
-117.9875251,33.7314996
-117.9879857,33.7318187
-117.9884356,33.73213
-117.9887659,33.7323606
-117.9890192,33.7325385
-117.9896947,33.73301
-117.9901056,33.7332991
-117.9920381,33.7346531
-117.993272,33.7355141
-117.9936756,33.7357974
-117.9947611,33.7365541
-117.9952681,33.7369134
-117.9957797,33.7372961
-117.9962937,33.7376894
-117.9967656,33.7380653
-117.9980711,33.7391417
-117.9984899,33.7394924
-117.9993457,33.7402071
-117.9998855,33.7406614
-118.0001867,33.7409149
-118.0005865,33.7412509
-118.0010158,33.7416133
-118.0014217,33.7419515
-118.0018323,33.7422974
-118.0022452,33.7426407
-118.0026534,33.7429802
-118.0030547,33.7433177
-118.0033374,33.7435462
-118.0033374,33.7435462
-118.003842,33.7439755
-118.0042344,33.7443017
-118.0049438,33.7448882
-118.0053829,33.7452525
-118.0057833,33.7455812
-118.0062549,33.7459675
-118.0066838,33.746319
-118.0074898,33.7469841
-118.0078788,33.7473102
-118.0082687,33.7476315
-118.0086692,33.7479703
-118.0088431,33.7481153
-118.0088431,33.7481153
-118.0090793,33.7483095
-118.0095129,33.7486722
-118.0099172,33.7490136
-118.0103402,33.7493689
-118.0107684,33.7497213
-118.0111834,33.7500678
-118.0116019,33.7504202
-118.0120195,33.7507719
-118.0121092,33.7508475
-118.0125013,33.7511783
-118.0130127,33.7516098
